Time,UF유입압력_PT001,UF유입압력_PT007,UF유입압력_PT002,UF유입압력_PT005,UF압력_UF-TMP,UF유입압력_PT003,UF유입압력_PT004,UF유입압력_PT006,UF처리탁도_TUB001,UF농축유량_FIT001,UF처리유량_FIT002,UF유입온도_TIT001,UF유입온도_TIT002,UF유입온도_TIT003,전기전도도_EC001,UFpH_pH001,UF히터_EH001,UF레귤레이터_REG001,UF레귤레이터_REG002,UF펌프_P001,UF펌프_P002,UF펌프_P003,UF펌프_P004,UF펌프_P005,XV001,XV002,XV003,XV004,XV005,XV006,XV007,XV008,XV009,XV010,XV011,XV012
10/22/2025 12:49,1.4272,1.3488,0,1.125,1.2761,1.4272,1.3488,1.125,1.75,23.8984,2.3535,48.2688,48.3188,48.2688,23.8984,2.3535,,,,45.9653,21.5449,22.1484,22.5496,22.4712,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:54,1.4306,1.3494,0,1.1575,1.29405,1.4306,1.3494,1.1575,1.8,23.8814,2.359,48.2375,48.0125,48.2375,23.8814,2.359,,,,45.6535,21.5224,22.0814,22.532,22.4508,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:59,1.4222,1.3525,0,1.1338,1.278,1.4222,1.3525,1.1338,1.775,23.8899,2.3572,48.2125,48.2125,48.2125,23.8899,2.3572,,,,45.8553,21.5327,22.1149,22.5374,22.4677,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:04,1.4297,1.3503,0,1.1138,1.27175,1.4297,1.3503,1.1138,1.775,23.8814,2.3662,48.3688,48.1,48.3688,23.8814,2.3662,,,,45.7338,21.5152,22.1064,22.5311,22.4517,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:09,1.4303,1.3522,0,1.0962,1.26325,1.4303,1.3522,1.0962,1.75,23.8786,2.3608,48.2,48.2,48.2,23.8786,2.3608,,,,45.8392,21.5178,22.1286,22.5264,22.4483,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:14,1.4316,1.3497,0,1.0988,1.2652,1.4316,1.3497,1.0988,1.75,23.8447,2.3644,48.0063,48.0063,48.0063,23.8447,2.3644,,,,45.6419,21.4803,22.0947,22.495,22.4131,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:19,1.4375,1.3506,0,1.145,1.29125,1.4375,1.3506,1.145,1.775,23.8673,2.359,48.1438,48.1438,48.1438,23.8673,2.359,,,,45.7848,21.5083,22.0923,22.5167,22.4298,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:24,1.4313,1.3525,0,1.1213,1.2763,1.4313,1.3525,1.1213,1.8,23.8871,2.3644,48.1125,48.1125,48.1125,23.8871,2.3644,,,,45.7481,21.5227,22.0871,22.5346,22.4558,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:29,1.4238,1.3509,0,1.115,1.2694,1.4238,1.3509,1.115,1.775,23.8617,2.3572,48.0875,48.0875,48.0875,23.8617,2.3572,,,,45.7303,21.5045,22.0867,22.5108,22.4379,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:34,1.4313,1.3503,0,1.1075,1.2694,1.4313,1.3503,1.1075,1.75,23.8673,2.359,48,48,48,23.8673,2.359,,,,45.641,21.5083,22.1173,22.517,22.436,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:39,1.4256,1.3522,0,1.1338,1.2797,1.4256,1.3522,1.1338,1.75,23.8786,2.3662,48.2313,48.2313,48.3188,23.8786,2.3662,,,,45.8651,21.5124,22.1286,22.5264,22.453,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:44,1.4266,1.3503,0,1.1287,1.27765,1.4266,1.3503,1.1287,1.75,23.8362,2.3662,48.25,48.25,48.0125,23.8362,2.3662,,,,45.8838,21.47,22.0862,22.4859,22.4096,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:49,1.4238,1.3519,0,1.1225,1.27315,1.4238,1.3519,1.1225,1.75,23.8927,2.3644,48.1688,48.1688,48.2125,23.8927,2.3644,,,,45.8044,21.5283,22.1427,22.5408,22.4689,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:54,1.4247,1.3509,0,1.1213,1.273,1.4247,1.3509,1.1213,1.775,23.8447,2.368,48.0938,48.0938,48.1,23.8447,2.368,,,,45.7258,21.4767,22.0697,22.4938,22.42,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:59,1.4225,1.3528,0,1.1513,1.2869,1.4225,1.3528,1.1513,1.75,23.8588,2.3626,48.1,48.1,48.1,23.8588,2.3626,,,,45.7374,21.4962,22.1088,22.506,22.4363,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:04,1.4225,1.3497,0,1.095,1.25875,1.4225,1.3497,1.095,1.75,23.8843,2.368,48.15,48.15,48.15,23.8843,2.368,,,,45.782,21.5163,22.1343,22.5346,22.4618,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:09,1.4216,1.3519,0,1.1325,1.27705,1.4216,1.3519,1.1325,1.75,23.839,2.3662,48.0313,48.0313,48.0313,23.839,2.3662,,,,45.6651,21.4728,22.089,22.4871,22.4174,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:14,1.4253,1.3522,0,1.1538,1.28955,1.4253,1.3522,1.1538,1.75,23.8786,2.3644,48.3438,48.3438,48.3438,23.8786,2.3644,,,,45.9794,21.5142,22.1286,22.5264,22.4533,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:19,1.4303,1.3528,0,1.1263,1.2783,1.4303,1.3528,1.1263,1.75,23.9012,2.3662,48.175,48.175,48.175,23.9012,2.3662,,,,45.8088,21.535,22.1512,22.5484,22.4709,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:24,1.4272,1.3519,0,1.1225,1.27485,1.4272,1.3519,1.1225,1.8,23.8588,2.368,48.2813,48.3188,48.2813,23.8588,2.368,,,,45.9508,21.4908,22.0588,22.5069,22.4316,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:29,1.4313,1.3525,0,1.1138,1.27255,1.4313,1.3525,1.1138,1.775,23.8617,2.368,48.2625,48.0125,48.2625,23.8617,2.368,,,,45.6445,21.4937,22.0867,22.5092,22.4304,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:34,1.4341,1.3538,0,1.1113,1.2727,1.4341,1.3538,1.1113,1.75,23.8899,2.3662,48.0438,48.2125,48.0438,23.8899,2.3662,,,,45.8463,21.5237,22.1399,22.5361,22.4558,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:39,1.4297,1.3525,0,1.1287,1.2792,1.4297,1.3525,1.1287,1.75,23.8673,2.377,48.3375,48.1,48.3375,23.8673,2.377,,,,45.723,21.4903,22.1173,22.5148,22.4376,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:44,1.4297,1.3516,0,1.1387,1.2842,1.4297,1.3516,1.1387,1.775,23.8758,2.3662,48.325,48.325,48.325,23.8758,2.3662,,,,45.9588,21.5096,22.1008,22.5242,22.4461,1,1,1,0,1,1,0,1,1,1,1,1
